structure,operation,size,trial_count,median_time_seconds,mean_time_seconds,standard_deviation_seconds,status,error_message
DynamicArray,append,100,5,1.0374998964834958e-05,1.0441600170452148e-05,1.9494355378009945e-07,completed,
DynamicArray,append,1000,5,9.545799548504874e-05,9.591679990990087e-05,1.616879191134269e-06,completed,
DynamicArray,append,5000,5,0.0005666249999194406,0.0005629415987641551,8.043252066135413e-06,completed,
DynamicArray,append,10000,5,0.0011288750029052608,0.0011281419996521437,1.406225486406232e-06,completed,
DynamicArray,append,25000,5,0.0026473749967408367,0.0026559665973763915,1.9949647716064304e-05,completed,
DynamicArray,indexed_access,100,5,1.3000004400964826e-05,1.297500275541097e-05,1.2274715344588927e-07,completed,
DynamicArray,indexed_access,1000,5,0.00012770800094585866,0.00012886660115327687,2.4607725310314688e-06,completed,
DynamicArray,indexed_access,5000,5,0.0006412920047296211,0.0006476002017734572,8.595770108646725e-06,completed,
DynamicArray,indexed_access,10000,5,0.0012853750013164245,0.0012922418012749405,1.789728127330677e-05,completed,
DynamicArray,indexed_access,25000,5,0.003226917004212737,0.0032561752013862133,5.7451248633362016e-05,completed,
DynamicArray,front_insert,100,5,0.0001377910011797212,0.00013776660052826627,3.4091685707810845e-07,completed,
DynamicArray,front_insert,1000,5,0.01356504200521158,0.01357130859978497,2.387725630684657e-05,completed,
DynamicArray,front_insert,5000,5,0.3770780420018127,0.38807584180030974,0.015979457741812194,completed,
DynamicArray,front_insert,10000,5,1.5115759589971276,1.5365477585990448,0.05238733561378491,completed,
DynamicArray,front_insert,25000,5,9.7000621660045,9.70174528320058,0.16372474450696803,completed,
SinglyLinkedList,prepend,100,5,1.2333999620750546e-05,1.2550198880489915e-05,3.6065849190918116e-07,completed,
SinglyLinkedList,prepend,1000,5,0.000149207997310441,0.00015126660146052017,6.997030664210145e-06,completed,
SinglyLinkedList,prepend,5000,5,0.0007972919993335381,0.0008571419995860197,0.00011750450844192191,completed,
SinglyLinkedList,prepend,10000,5,0.0018050830040010624,0.0021939334023045377,0.0008365013571534109,completed,
SinglyLinkedList,prepend,25000,5,0.004655583004932851,0.00512728320172755,0.001094879460115614,completed,
SinglyLinkedList,sampled_indexed_access,100,5,6.199999916134402e-05,6.212500011315569e-05,2.622007399202873e-07,completed,
SinglyLinkedList,sampled_indexed_access,1000,5,0.0005909170067752711,0.0005946836012299172,1.0715122598738068e-05,completed,
SinglyLinkedList,sampled_indexed_access,5000,5,0.0035991250042570755,0.003569700199295767,0.00014631440794762502,completed,
SinglyLinkedList,sampled_indexed_access,10000,5,0.006909957999596372,0.006925333398976363,2.5536995290976593e-05,completed,
SinglyLinkedList,sampled_indexed_access,25000,5,0.017540666995046195,0.01762765000021318,0.0001767742777921904,completed,
ArrayStack,push_then_pop,100,5,6.304199632722884e-05,6.32667972240597e-05,8.930213567439625e-07,completed,
ArrayStack,push_then_pop,1000,5,0.0006099169986555353,0.0006116833988926374,3.5907165430430883e-06,completed,
ArrayStack,push_then_pop,5000,5,0.003251708003517706,0.0032482334005180745,7.202323028339147e-06,completed,
ArrayStack,push_then_pop,10000,5,0.006484416997409426,0.006491999998979736,1.494010970865456e-05,completed,
ArrayStack,push_then_pop,25000,5,0.016076542000519112,0.01622848339902703,0.0002656348859834026,completed,
CircularQueue,enqueue_then_dequeue,100,5,3.1207993743009865e-05,3.6066600296180694e-05,6.6807452079251205e-06,completed,
CircularQueue,enqueue_then_dequeue,1000,5,0.0003220840007998049,0.0003256168027292006,1.0669650882965044e-05,completed,
CircularQueue,enqueue_then_dequeue,5000,5,0.0018189999973401427,0.0018365251991781407,2.807090294360263e-05,completed,
CircularQueue,enqueue_then_dequeue,10000,5,0.0037216660057310946,0.0037211830014712175,2.6559326982603995e-05,completed,
CircularQueue,enqueue_then_dequeue,25000,5,0.00889433400152484,0.00891196660231799,0.00010350810495497037,completed,
Matrix,full_traversal,100,5,4.695800453191623e-05,4.969999863533303e-05,5.4742023594459965e-06,completed,
Matrix,full_traversal,1000,5,0.0004417910022311844,0.000443908000306692,4.603343583933211e-06,completed,
Matrix,full_traversal,5000,5,0.0021600420004688203,0.0021590166026726363,6.847658727238563e-06,completed,
Matrix,full_traversal,10000,5,0.004363624997495208,0.004425616600201465,9.350733612927156e-05,completed,
Matrix,full_traversal,25000,5,0.010831708001205698,0.010835933200723957,3.1399666504373314e-05,completed,
