algorithm,dataset_type,size,rank_label,k,trial_count,median_time_seconds,mean_time_seconds,standard_deviation_seconds,minimum_time_seconds,maximum_time_seconds,comparisons,swaps,partition_calls,pivot_selections,recursive_calls,maximum_depth,groups_processed,small_group_sorts,status,error_message
Median of Medians,random,100,minimum,1,5,9.875000250758603e-05,9.926660131895915e-05,1.0110667695346487e-06,9.812500502448529e-05,0.0001009580009849742,772,367,16,16,18,6,57,57,completed,
Median of Medians,random,100,median,50,5,0.00010954200115520507,0.00011069200263591483,1.5966111151287976e-06,0.00010929200652753934,0.00011320900375721976,823,388,21,21,25,7,66,66,completed,
Median of Medians,random,100,p90,90,5,0.00010112499876413494,0.00010109179856954142,2.706660375074738e-07,0.00010062499495688826,0.00010137500066775829,753,358,19,19,24,7,59,59,completed,
Median of Medians,random,1000,minimum,1,5,0.0011525000008987263,0.0011537832004250958,5.826711303082527e-06,0.0011475829960545525,0.0011632919995463453,9174,5026,78,78,97,10,642,642,completed,
Median of Medians,random,1000,median,500,5,0.001204291998874396,0.0012066585986758582,5.873432692570424e-06,0.0011986249955953099,0.001215042000694666,9467,5456,84,84,99,10,656,656,completed,
Median of Medians,random,1000,p90,900,5,0.001166624999314081,0.0011680167997837998,5.928816407559555e-06,0.001161708998552058,0.0011787500043283217,9285,5318,70,70,84,10,639,639,completed,
Median of Medians,random,3500,minimum,1,5,0.004216458000882994,0.004228308200254105,2.0308530502126992e-05,0.004214458997012116,0.004267541000444908,33528,19652,172,172,210,11,2268,2268,completed,
Median of Medians,random,3500,median,1750,5,0.004125375002331566,0.004139433197269682,3.2866810828683716e-05,0.004110165995371062,0.004199291994154919,33214,18544,184,184,226,12,2310,2310,completed,
Median of Medians,random,3500,p90,3150,5,0.0042209579987684265,0.004230616401764564,2.2070116878531657e-05,0.004215749999275431,0.004274458005966153,33767,19318,191,191,234,12,2324,2324,completed,
Median of Medians,random,5000,minimum,1,5,0.006144457998743746,0.00614215020177653,1.8512782823017538e-05,0.006109166999522131,0.0061659170023631305,48696,28931,230,230,277,12,3299,3299,completed,
Median of Medians,random,5000,median,2500,5,0.00591795800573891,0.005920091601728928,1.5677401477453088e-05,0.005898959003388882,0.005947791003563907,47502,27621,198,198,237,12,3212,3212,completed,
Median of Medians,random,5000,p90,4500,5,0.005943667005340103,0.005952991801314056,2.627941883952945e-05,0.005931958003202453,0.0060048339946661144,47348,27767,225,225,275,13,3246,3246,completed,
